application_id,job_id,student_id,applied_date,application_stage,final_outcome
1,11,1,2025-03-17,Applied,Pending
2,14,1,2025-03-13,Interview,Rejected
3,21,2,2025-05-23,Interview,Rejected
4,1,2,2025-05-17,Interview,Rejected
5,12,2,2025-05-08,Screening,Pending
6,9,2,2025-04-26,Applied,Pending
7,21,3,2025-06-05,Interview,Rejected
8,18,3,2025-03-26,Interview,Pending
9,5,3,2025-05-16,Screening,Pending
10,5,4,2025-05-22,Screening,Pending
11,13,4,2025-03-31,Screening,Rejected
12,25,4,2025-05-18,Interview,Pending
13,23,4,2025-05-13,Screening,Rejected
14,8,4,2025-02-09,Screening,Rejected
15,9,5,2025-04-28,Screening,Rejected
16,21,5,2025-05-25,Applied,Withdrawn
17,8,5,2025-02-16,Screening,Rejected
18,14,6,2025-03-05,Screening,Rejected
19,26,6,2025-02-03,Screening,Rejected
20,20,6,2025-05-17,Applied,Pending
21,6,6,2025-03-16,Applied,Pending
22,23,7,2025-05-19,Offer,Offered
23,5,7,2025-05-14,Interview,Rejected
24,7,7,2025-05-10,Screening,Rejected
25,14,7,2025-03-08,Screening,Pending
26,21,8,2025-05-30,Interview,Rejected
27,7,8,2025-05-18,Screening,Pending
28,3,9,2025-02-11,Screening,Rejected
29,16,9,2025-04-09,Screening,Pending
30,4,10,2025-02-11,Screening,Rejected
31,11,10,2025-03-09,Screening,Pending
32,7,10,2025-05-06,Offer,Offered
33,11,11,2025-03-07,Applied,Pending
34,23,11,2025-05-15,Applied,Pending
35,19,11,2025-05-04,Screening,Rejected
36,1,11,2025-06-01,Interview,Rejected
37,13,12,2025-04-08,Interview,Rejected
38,10,12,2025-02-06,Screening,Rejected
39,23,12,2025-05-24,Interview,Rejected
40,20,12,2025-05-26,Screening,Rejected
41,12,13,2025-05-04,Screening,Rejected
42,7,13,2025-05-19,Offer,Offered
43,9,14,2025-04-27,Screening,Rejected
44,19,14,2025-04-25,Screening,Rejected
45,13,15,2025-04-08,Offer,Offered
46,19,15,2025-04-24,Screening,Rejected
47,2,15,2025-02-18,Screening,Pending
48,7,15,2025-05-14,Applied,Pending
49,17,16,2025-06-30,Screening,Rejected
50,16,16,2025-04-02,Screening,Rejected
51,2,16,2025-02-12,Screening,Rejected
52,11,17,2025-03-18,Applied,Pending
53,23,17,2025-05-23,Interview,Pending
54,4,17,2025-02-05,Offer,Offered
55,10,18,2025-02-07,Interview,Rejected
56,25,18,2025-05-12,Applied,Withdrawn
57,22,18,2025-01-27,Screening,Rejected
58,14,18,2025-03-14,Screening,Rejected
59,8,19,2025-02-10,Applied,Pending
60,4,19,2025-02-07,Screening,Rejected
61,7,19,2025-05-06,Interview,Rejected
62,11,19,2025-03-05,Screening,Pending
63,4,20,2025-02-17,Screening,Rejected
64,11,20,2025-03-12,Screening,Rejected
65,26,21,2025-02-08,Interview,Rejected
66,16,21,2025-03-29,Applied,Pending
67,8,21,2025-02-07,Offer,Offered
68,12,21,2025-05-09,Screening,Rejected
69,14,21,2025-03-13,Applied,Pending
70,10,22,2025-02-11,Screening,Rejected
