course_id,student_id,completion_status,final_score
7,1,Completed,78.3
6,2,Dropped,
4,3,Completed,83.1
2,4,Completed,62.5
8,4,Completed,61.6
5,5,Completed,71.0
3,6,Completed,78.5
1,6,Completed,75.3
7,6,Completed,84.6
1,7,Completed,59.2
7,7,In Progress,
5,8,Completed,80.0
1,9,Completed,82.7
2,9,Completed,89.6
1,10,Completed,93.8
5,10,Completed,81.9
4,11,Dropped,
1,12,Completed,89.0
2,12,Completed,75.3
5,12,In Progress,
2,13,In Progress,
7,13,Completed,91.6
5,14,Completed,76.7
7,14,Completed,80.4
4,14,In Progress,
6,15,In Progress,
7,16,Completed,96.1
1,16,Completed,70.3
4,16,Completed,70.1
2,17,Completed,80.8
5,17,In Progress,
1,17,In Progress,
2,18,Completed,70.4
3,18,Completed,57.0
1,18,Completed,84.5
4,19,Completed,57.3
3,19,In Progress,
8,19,In Progress,
6,20,Completed,92.0
8,21,Completed,71.0
1,21,Completed,62.8
5,22,In Progress,
7,22,Dropped,
8,22,Completed,74.8
2,23,Completed,81.5
8,24,In Progress,
3,24,Completed,92.1
6,24,In Progress,
6,25,In Progress,
2,25,Completed,87.2
4,26,Completed,99.8
8,26,In Progress,
1,26,Completed,82.7
5,27,Completed,68.8
8,27,In Progress,
6,28,Completed,63.2
8,28,Completed,56.9
3,28,In Progress,
5,29,Completed,77.2
8,30,In Progress,
3,30,In Progress,
3,31,Completed,92.8
4,32,In Progress,
1,32,Completed,71.1
2,33,In Progress,
1,33,Completed,70.7
8,34,Completed,80.1
7,35,In Progress,
1,35,Completed,78.0
4,36,Completed,92.7
2,37,Completed,73.1
7,38,Completed,88.0
6,38,Completed,83.9
4,38,Completed,71.7
4,39,Completed,70.5
1,39,In Progress,
7,39,In Progress,
5,40,In Progress,
2,40,Completed,69.6
1,40,Completed,66.0
1,41,Completed,77.9
6,42,In Progress,
8,42,Completed,90.8
2,43,Completed,86.2
3,43,Dropped,
5,44,Dropped,
3,44,Completed,77.0
1,44,Completed,89.2
3,45,In Progress,
5,46,Completed,70.2
8,46,Completed,84.1
4,47,Completed,94.2
6,47,Completed,100.0
1,47,In Progress,
7,48,Completed,66.5
6,48,In Progress,
2,49,In Progress,
4,50,Completed,67.3
3,51,In Progress,
1,51,Completed,52.8
4,51,In Progress,
8,52,Completed,81.4
3,52,Completed,75.5
4,52,Completed,79.1
1,53,In Progress,
7,54,Completed,84.6
5,55,Completed,65.6
3,55,Completed,72.6
1,56,Completed,50.1
2,56,In Progress,
3,57,Completed,66.3
4,58,Dropped,
1,58,Completed,78.1
7,58,In Progress,
3,59,Completed,55.5
6,60,In Progress,
4,60,In Progress,
8,60,Completed,74.5
2,61,Completed,75.7
4,61,Completed,79.3
2,62,Completed,82.7
4,62,Completed,78.8
6,62,Completed,91.0
3,63,Completed,82.4
8,63,In Progress,
2,63,Completed,98.8
5,64,Completed,73.6
1,64,Completed,74.8
7,64,Completed,83.0
6,65,Completed,85.0
7,65,In Progress,
5,65,In Progress,
2,66,In Progress,
6,66,In Progress,
2,67,Completed,84.3
6,67,Completed,100.0
1,67,In Progress,
2,68,Completed,78.8
3,68,In Progress,
5,68,Completed,77.9
1,69,Completed,87.7
3,69,Completed,76.1
4,69,Dropped,
1,70,Completed,88.0
5,70,In Progress,
1,71,In Progress,
2,72,Completed,86.7
4,73,In Progress,
8,73,In Progress,
5,73,Completed,69.6
7,74,Completed,81.8
8,75,In Progress,
1,76,Completed,82.4
5,76,Completed,61.0
5,77,Dropped,
2,77,Completed,80.0
4,77,Completed,94.4
1,78,In Progress,
7,79,Completed,70.1
8,79,Completed,64.6
2,79,Completed,64.8
2,80,Completed,82.4
3,80,Completed,79.9
5,80,Completed,76.0
3,81,Completed,86.6
4,81,Completed,71.2
4,82,In Progress,
5,82,Completed,78.4
6,82,Completed,58.6
6,83,Completed,80.1
8,83,In Progress,
4,84,Completed,89.4
7,84,Completed,73.8
3,85,Completed,87.7
2,86,In Progress,
5,86,Completed,85.5
3,86,Completed,96.5
7,87,Completed,85.3
1,87,In Progress,
8,87,Completed,76.4
8,88,Completed,76.4
4,88,Completed,88.6
2,89,In Progress,
7,89,Completed,80.6
8,90,Completed,65.3
6,90,Completed,69.9
6,91,Completed,67.6
4,91,Completed,77.7
2,91,Completed,79.8
8,92,Completed,69.3
7,92,Completed,80.3
1,93,In Progress,
4,94,Completed,94.5
3,94,Completed,80.8
5,94,In Progress,
7,95,Completed,69.5
4,96,In Progress,
7,96,Completed,81.5
1,97,In Progress,
3,97,Completed,88.9
7,97,Completed,81.6
2,98,Dropped,
1,98,In Progress,
4,98,Completed,55.7
8,99,In Progress,
7,100,Completed,62.6
1,101,In Progress,
5,101,In Progress,
4,102,Completed,72.4
1,102,Completed,92.0
6,103,In Progress,
5,104,Completed,96.5
2,104,Completed,79.7
3,105,In Progress,
4,105,Completed,73.3
5,105,Completed,62.8
5,106,Dropped,
5,107,In Progress,
8,107,Completed,67.5
2,107,Completed,68.7
4,108,Completed,80.6
5,108,In Progress,
6,108,Completed,75.7
2,109,In Progress,
4,110,Completed,67.0
8,111,Completed,78.0
7,111,Completed,68.8
4,112,Completed,74.0
3,112,Completed,89.3
5,112,Completed,82.2
6,113,Completed,85.4
7,113,Completed,72.5
2,113,Completed,84.2
2,114,Completed,81.1
3,114,In Progress,
4,115,Completed,89.1
7,115,In Progress,
8,116,Completed,85.9
3,116,Completed,83.2
3,117,Completed,79.3
3,118,Completed,81.5
6,118,Completed,95.9
8,118,In Progress,
8,119,Completed,83.4
1,120,Completed,75.3
3,120,Completed,52.9
4,120,Dropped,
5,121,Completed,81.1
7,121,Completed,90.2
6,121,Completed,75.0
7,122,In Progress,
4,122,In Progress,
2,122,Completed,83.9
7,123,Completed,64.4
8,124,Completed,67.7
7,125,Completed,79.7
8,125,Completed,79.1
5,126,Completed,62.5
7,126,Completed,90.2
2,126,Dropped,
4,127,In Progress,
5,127,Completed,85.8
8,127,Completed,84.4
8,128,Completed,76.5
4,128,In Progress,
4,129,Completed,76.7
3,129,Completed,71.4
2,130,Completed,66.3
8,131,Completed,82.4
5,131,Completed,90.0
3,132,In Progress,
4,133,Completed,70.0
6,134,Completed,60.9
1,134,Completed,77.1
7,135,Completed,67.1
3,136,Completed,84.2
8,136,In Progress,
6,136,Completed,78.8
7,137,Completed,82.4
1,138,Completed,67.5
3,138,Completed,60.0
3,139,Completed,67.5
7,139,Completed,80.0
1,140,Completed,67.4
8,141,Dropped,
5,141,Completed,95.5
6,141,Completed,74.2
1,142,Completed,67.8
1,143,In Progress,
7,143,Completed,74.8
6,143,Completed,100.0
8,144,Completed,71.7
3,144,Completed,71.1
7,145,Completed,95.5
5,146,Completed,87.8
7,146,Completed,78.5
6,146,In Progress,
1,147,Completed,89.2
7,148,Completed,84.6
5,148,Completed,58.3
6,148,In Progress,
1,149,In Progress,
4,149,Completed,84.8
6,149,In Progress,
5,150,Completed,79.3
2,150,In Progress,
